id,tanggal,kalimat,ket
NULL,2021-05-10,"Pembelajaran daring menyebabkan siswa di pelosok desa ketinggalan materi pelajaran. Beruntung ada Avan Fathurrahman yang rela mendatangi peserta didiknya meski dirinya berpotensi terpapar virus.#Sosok 10 Mei 2021Mengajar di Tengah Pandemihttps://t.co/ovOgERaq3r https://t.co/T8Ke7FbZPw",0
NULL,2021-05-10,"Ternyata banyak ya yang menghindari aplikasi ijo ini sejak pembelajaran daring. Kukira cuma aku aja yang aneh karena merasa tertekan banget sampai pengen uninstall aplikasi ini https://t.co/Lf4odtdHb6",1
NULL,2021-05-10,"Maka survey pembelajaran daring dilakukan untuk mengetahui ke-efektifan yang dirasakan oleh mahasiswa, aspirasi mahasiswa sudah disampaikan melalui audiensi yang disampaikan kepada pihak institusi.",0
NULL,2021-05-10,"[HASIL AUDIENSI SURVEY PEMBELAJARAN]Hallo Voks!Hallo Mahasiswa!Sudah hampir 2 tahun kita menjalani perkuliahan secara daring. https://t.co/VEnkBv5Fev",1
NULL,2021-05-10,"[DAILYGAMA #3 : GAJADI DEH!] Pada komik episode 1 membahas tentang kita yang merasa takut untuk berpendapat saat pembelajaran daring. Kita merasa orang-orang akan menghakimi kita. Padahal, itu hanya kepanikan belaka. Apakah kamu juga merasakannya?Yuk simak cerita berikut! https://t.co/TFKNVsAcV1",1
NULL,2021-05-10,"Sarjana selalu berusaha untuk mempersiapkan media dan alat bantu ajar yang dipergunakan selama pembelajaran daring berlangsung. https://t.co/pUxJFj0Ypb",0
NULL,2021-05-10,"LATSAR CPNS BPPT 2021 dilakukan secara daring, dengan mekanisme pembelajaran mandiri dan tatap muka. Diharapkan setelah mengikuti LATSAR, dapat terbentuk CPNS yang profesional serta mampu mengimplementasikan nilai-nilai LATSAR dalam aktualisasi dan pengembangan BPPT ke depannya.",0
NULL,2021-05-10,"Selama pembelajaran masih memberlakukan sistem daring, Tes MBTI  hadir sebagai salah satu jawaban atas pencarian SDM untuk kepanitiaan ataupun organisasi. https://t.co/OngEAHIxPQ",0
NULL,2021-05-10,"12 Kampus Kerja Sama Kembangkan Pembelajaran Daring melalui ICE Institute https://t.co/QRpgTEp5RD",0
NULL,2021-05-10,"Sistem zonasi dan pembelajaran daring banyak dikeluhkan warga Surabaya via @radiomercury96 https://t.co/qpVW1R8Wsk",1
NULL,2021-05-10,"@dennis_menace69 Rabu sampe jumat aja omden, senin udh masuk piket penerimaan murid baru sekalian masi pembelajaran daring same pertengahan juni.",0
NULL,2021-05-09,"@jtyriri Tapi ya gitu deh, sekarang yang namanya tugas apalagi di pembelajaran daring gini cuma buat pembuktian kehadiran siswa / mahasiswa. Lain lagi pas luring, setengah semester aja bisa dihitung, kan, kita dikasih tugasnya dalam beberapa pertemuan sekali. Kan sedih banget, setresssss.",1
NULL,2021-05-09,"Semingguan dan belum pulih. Pembelajaran jarak jauh secara daring karena pandemi harus terhenti karena jaringan internet down. Hanya ada di timur negeri kami.",1
NULL,2021-05-09,"@collegemenfess Bljr bikin prota, promes, sama rpp.. paling nggak paham caranya aja jd basicnya udah punya. Mulai nyari tau model pembelajaran yg biasa dipake era daring gini, terus nnt kalo dapet tugas kyk jurnal harian gt bnr bnr dikerjain per hari ya, jgn di akhir nnt keteteran sendiri.",0
NULL,2021-05-09,"https://t.co/CQPdlJHTHRWorkshop dengan tema “Metode Pembelajaran Inovatif Kreatif Melalui Case Method dan Team Based Project Learning” ini diikuti oleh 225 peserta dan dilakukan secara Daring melalui aplikasi Zoom. https://t.co/rb7IemkEdr",0
NULL,2021-05-09,"*laporan yang didapat KPAIhttps://t.co/Fi2EYVqCmhnih dah, dan banyak lagi tbh.imo, sabtu minggu adalah waktu yang terbaik untuk rehat dari segala aktivitas. manusia dari kalangan semua usia dan latar belakang perlu yang namanya beristirahat walau cuman sehari dua hari",0
NULL,2021-05-09,"@schfess dikira kita gak boleh punya hak buat rebahan, main hp, gitu gitu? Pembelajaran daring tuh gak harus 24/7 bgt lah anjir kesel banget",1
NULL,2021-05-09,"@agungcfc semoga lu ngerasain deh sulitnya pembelajaran daring biar lu sadar",1
NULL,2021-05-08,"@sherpa701 Done Om sherpaBismillahirrahmanirrahim semoga rezeki Adek aku.Karna Hp yang biasa buat Daring dan belajar udah sering lemot dan gak bisa di Cas jadi kadang mengganggu pembelajaran.Semoga aja dapet Hp dari Om sherpa biar lebih enak belajarnya ke 3adekku nanti https://t.co/MdLopP1bFR",1
NULL,2021-05-08,"Berita dari FTKE*Sosialisasi platform Learning Management System (LMS) PPDT untuk FTKE USAKTI*Kegiatan Sosialisasi _platform Learning Management System_ (LMS) Pusat Pembelajaran Daring (PPDT) untuk Fakultas Teknologi Kebumian dan Energi (FTKE) https://t.co/qYE2ZLfZhs",0
NULL,2021-05-08,"Gue kelas 10 SMA Jurusan MIPA mengaku tidak pernah melakukan pembelajaran secara daring.",1
NULL,2021-05-08,"Disdik Sinjai Kembali Terapkan Pembelajaran Daring Pasca Libur Lebaran https://t.co/DhLpOaZRQ4 https://t.co/ddUwdjzEZn",0
NULL,2021-05-08,"@Larasatidhianp Gaya belajar seperti apa yang dapat meningkatkan nilai afektif, kognitif dan psikomotorik pada peserta didik saat pembelajaran daring masa pandemi ini?",0
NULL,2021-05-08,"@txtdrstoryWA Assalamualaikum Yukk buat siswa SMA kelas XI bisa bantu buat isi kuisioner tentang *Pengaruh Pembelajaran Daring Bagi Siswa Kelas XI* 👉🏻 https://t.co/2r7DydU6yo 👈🏻Guna tugas _METODOLOGI PENELITIAN PENDIDIKAN_ Terima kasih atas partisipasinya😉Bolehhh yuk diisi",0
NULL,2021-05-08,"Semoga aja ini bisa jd langkah awal buat perbaikan2 dalam pembelajaran daring, mengingat entah sampe kapan bakal kuliah daring ya kan. Mungkin buat temen-temen yang punya keluhan selama kuliah daring, bisa ngadain kegiatan seperti yg diadakan sama prodiku ini",1
NULL,2021-05-08,"Pembelajaran IPS secara Daring dengan Model ITM https://t.co/Ja7ir7CJl1",0
NULL,2021-05-08,"[TIPS AND TRICK]Hallo sobat FEB!!Di kondisi pandemi seperti ini kita masih diharusnya untuk mematuhi protokol kesehatan. Kegiatan pembelajaran kini masih diberlakukan secara daring. Bagaimana kegiatan belajar di rumah kamu? Meskipun secara daring, (..) https://t.co/NyJNlhDpTX",1
NULL,2021-05-08,"Meski Pelaksanaan Pembelajaran Via Daring, Hartopo Minta Sekolah Tak Mudah Naikan atau Luluskan Siswa https://t.co/zsBim15rfW",1
NULL,2021-05-08,"Kegiatan ini dilakukan rutin setiap hari Selasa dan Rabu, mulai dari pukul 07.00 - 08.00 WIB di Mushola BTP. Bagi pegawai yang sedang Work From Home (WFH) pembelajaran dilakukan secara daring. Program Belajar Bahasa Arab ini dibimbing oleh pegawai BTP, Arif Rahman Hakim, S.T. https://t.co/tmKyOj8PcU",0
NULL,2021-05-07,"Lihat postingan terbaru siswa yg kelas 12 ini jarang ikut pembelajaran daring &amp; nyerahin tugas. Pdhl waktu kelas 10-11 dia siswa yg gercep ngerjain tugas &amp; aktif saat KBM.Pantas saja. Jadi penasaran, selama covid berapa besar angka pernikahan usia muda bertambah di Banjarmasin?!",1
NULL,2021-05-07,"@TRANS7 1. Akibat Pandemi, Rakyat Kekurangan Dana untuk Mencukupi Kebutuhan Pendidikan anaknya2. Karena Terlalu Lama Pembelajaran Tatap Muka, semangat belajar Siswa Menurun3. Pendidikan daring di masa pandemi membosankan, siswa lebih aktif dengan handphone-nya untuk main game.",1
NULL,2021-05-07,"Pembelajaran Daring: Solusi Atau Masalah https://t.co/EsQ1XOQqWk (tulisan yang masih dibaca orang setelah setahun)",1
NULL,2021-05-07,"pernah ga si lo nyadar bbrp temen lo, ad yg jdr rajin ngerjain pr tepat waktu pas sistem pembelajaran daring?😀dan lo santai banget pas daring😭,mana rangking ga dikasi tai pas semester 1 😭 , dan akhirnya lo nyadar temen lo tiba tiba naik pesat ke ranking 3 besar 😀😀 ,",1
NULL,2021-05-07,"Yuk kita cari tahu selengkapnya di https://t.co/6TnnV3TdAl#burnout #covid19 #pjj #daring #lifestyle #dampaknegatif #pandemi #lpmindustria",1
NULL,2021-05-07,"Kesiapan Guru dengan Pembelajaran Daring pada Masa Pandemi Covid-19 https://t.co/oqYyRsO9Fn",0
NULL,2021-05-07,"Digitalisasi dalam pendidikan perlu dilakukan sebagai upaya untuk mengubah berbagai aspek dan proses pendidikan ke dalam beragam variasi digital. #userstory https://t.co/lhhfJa2KXu",0
NULL,2021-05-07,"2. Akan tetapi, dari kebijakan ini juga banyak pihak yang belum siap untuk melaksankan pembelajaran melalui jarak jauh atau yang dikenal dengan sebutan daring ini.",1
NULL,2021-05-07,"Jngan kan murid2 nya.Jujurly nih kita para rekan tenaga pendidik juga udah jenuh PJJ/Daring terlalu lama... Pembelajaran budi pekerti nya gak bisa maksimal... 😑 Semoga coronces sgera benar2 berakhir.",1
NULL,2021-05-07,"Hai sobat!Apabila kamu memenuhi kriteria: 1. Mahasiswa Aktif di Jatim2. Mengikuti pembelajaran daring3. Pengguna Telkomsel, Indosat, 3, XL, Axis, Smartfren4. Mau berbagi lokasi dengan  klik  izinkan  saat membuka linkMohon bantu mengisi:🥏 https://t.co/tTpfwjypkb",0
NULL,2021-05-07,"Institut Teknologi Sepuluh Nopember (ITS) bersama 11 PTN maupun PTS mendukung upaya pemerintah untuk mengoptimalkan pembelajaran daring. https://t.co/LSFKqt4M4o",0
NULL,2021-05-07,"@Mishmahigshiro moment paling berkesan selama kuliah adalah pas KKN. Walaupun KKN ku pas pandemi dan beda dari yg lain yaitu di kampung masing2 mahasiswa.  Kegiatan KKN paling berkesan yaitu saat pembagian bantuan covid-19 kpd warga, pendampingan pembelajaran daring di sekitar rumah https://t.co/wvhnwYGzbF",0
NULL,2021-05-07,"Diskusi Terbuka (Diterka) yang dilaksanakan oleh MWA Undip untuk meninjau dilema pengadaan pembelajaran secara tatap muka.  Dari beberapa pertimbangan tersebut, kira-kira semester depan kita kuliah secara luring atau daring ya?Selengkapnya https://t.co/j3lbWOEpPy https://t.co/Dl15hwSony",1
NULL,2021-05-07,"Pas di sekolah, Januari 2020 sebelum diberlakukannya pembelajaran daring Aku nangis 🤣 https://t.co/41MkmiCJzF https://t.co/WBv18kGv8p",1
NULL,2021-05-07,"Selama 3 semester masa pandemi, baru 3 dosen yang carenya bikin terharu: Mereka pertimbangin banget pembelajaran daring buat mahasiswanya, gak cuma asal presentasi kasih tugas tapi di evaluasi gimana biar progres mahasiswanya terus meningkat sampe uas",0
NULL,2021-05-07,"Keadaan ku sendiri ga baik kok, apalagi pembelajaran daring kaya gini stress dobel2. Blm drama nya anak2 yang aku ampu, dll Kadang aku mikir, sanggup gak aku nambah beban lagi buat diri sendiri? Tuntutan setelah merid, dll, sanggup gak aku?",1
NULL,2021-05-06,"Belajar Daring Masih diterapkan dimasa Pandemi ini.Masih banyak sekolah, kampus yg belum pembelajaran tatap muka.Solusinya paket internet tidak boros karena belajar online hanya 1.Yuk pasang Wi-Fi, lebih hemat dan tidak lemot.#MajuTerusBersamaIndiHome#InternetnyaIndonesia https://t.co/Ca2CqTELGl",0
NULL,2021-05-06,"@ubemine___ @collegemenfess cara menghilangkan bosan dalam pembelajaran daring.",0
NULL,2021-05-06,"@AREAJULID kasian siswa banyak tugas. kasian guru dikacangin mulu sm siswanya. apalagi yg suka offcam offmic kl lg tatap maya. jadi jangan egois ya. smua jg cape sama pembelajaran daring pengen cepet2 luring.",1
NULL,2021-05-06,"ICE Institute merupakan marketplace pembelajaran daring di Indonesia yang berisi galeri mata kuliah daring yang dapat ditempuh oleh mahasiswa dari berbagai perguruan tinggi   https://t.co/AHNhedNSoN",0
NULL,2021-05-06,"ITS Dukung Pengembangan Pembelajaran Daring di Indonesia https://t.co/RPirnugW4O https://t.co/AdDMFdRh07",0
NULL,2021-05-06,"SEORANG GURU MENGAJAR DARING SELAMA PANDEMI COVID-19Penerapan sistem pembelajaran daring menuntut guru untuk menyesuaikan diri dengan cepat agar bisa tetap menjalankan kewajiban mengajar dengan baik.  #fotografi #miskin #pandemi #covid19 #kesehatan #pendidikan #standarhidup",0
NULL,2021-05-06,"“Siswa Memilih menikah karena bosan dengan pembelajaran daring,...”Ada dan sangat nyata",1
NULL,2021-05-06,"mengeluh akibat pembelajaran sistem daring yang di terapkan, karena merasa bosan mengalami kejenuhan pada saat belajar. Kali ini dalam Rimbavaganza edisi #1 hadir membawakan Tips and Trick Anti Boring Saat Daring untuk kalian para Mahasiswa.Salam Rimba.FAHUTAN! ASIK! https://t.co/Z1kLBWnhas",1
NULL,2021-05-06,"@AREAJULID Tapi emang harusnya kalau ada sekolah yang memungkinkan untuk bertatap muka lebih baik pembelajaran dilakukan luring. Soalnya ada tempat yang zona hijau, pembelajaran dilakukan daring malah tidak efektif sama sekali, baik dari pihak guru maupun murid.",1
NULL,2021-05-06,"Universitas Terbuka bisa dibilang menjadi pionir dalam pelaksanaan model belajar jarak jauh (PJJ) untuk mengembangkan pembelajaran daring,  tuturnya. #LaNyalla #LaNyallaAcademia",0
NULL,2021-05-06,"mau tanya dong, selama kalian pembelajaran daring, kalian merasa gimana terhadap kesehatan mental kalian?",1
NULL,2021-05-06,"This. Guru juga kesusahan untuk ngatur pembelajaran daring biar murid bisa mencapai target pembelajaran yang udah disepakati kurikulum. Sama-sama intropeksi aja yuk? https://t.co/Q3zxWrhaKq",1
NULL,2021-05-06,"Indra Hermawan, mandataris Ketua PC PMII Pacitan mengimbau kepada kader untuk aktif dalam berdiskusi. Hal tersebut supaya pemikiran dan gagasan dapat tersampaikan dengan baikhttps://t.co/99OOIFlHuD",0
NULL,2021-05-06,"@AREAJULID Posisi saya sebagai pengajar praktik kadang dibingungkan. Kadang siswa tidak responsif, saat pembelajaran daring padahal melalui WhatsApp grup, hanya 1-3 orang yang aktif. Tugas itu untuk mengukur bagaimana pemahaman siswa apalagi u/ melihat pemahaman dalam pembelajaran.",1
NULL,2021-05-06,"Diduga kebijakan pembelajaran via daring, tugas diberikan dengan membabi buta dengan dalih  kan cuma di rumah ",1
NULL,2021-05-06,"@ElioAglio @tubirfess Menurutku yg di tackle masalah mental health nya ya itu..suruh masuk sekolah. Karena kan emang inti penyebabnya karena daring..timbul deh masalah ini itu. Tp ttp hrs dgn protokol yg bnr jg klo msk sklh. Jd imbangin aja. Pembelajaran daring gini emg bnr² gak worth it buat bbrp org",1
NULL,2021-05-06,"@eimeriasp Intinya rata2 di Indonesia belum nemuin instrumen pembelajaran daring yg cocok sm karakter peserta didik wkwkw",1
NULL,2021-05-06,"Setelah mereka mendapatkan ponsel untuk penunjang pembelajarannya, nggak melepas tangan untuk tetap menjadi tutor juga mentor, karena sadar pembelajaran daring nggak efisien, jadinya yaa tetep menyibukkan diri dengan mengajari mereka, menghibur dan jadi wadah curcol ortu mereka😂",0
NULL,2021-05-06,"@vegetaherbal_ @collegemenfess Aku nek bosan bilang sih gak ngilang apalagi nikah pas pembelajaran daring : ",1
NULL,2021-05-06,"@AREAJULID Guru gawe materi2 kui yo berdasar seko silabus&amp;rpp sik format e sesuai Pembelajaran daring sik berdasar seko pak mentri boss.. ora muk gaco gawe kirim gawe kirim. Gawe perencanaan materi yo atas persetujuan kurikulum &amp;kepsek bosss ra gur gaco aeee",1
NULL,2021-05-06,"@OPPOIndonesia Butuh memori besar 128GB di Oppo A54 buat simpan file pembelajaran.saat daring gini hp ku udah gak kuat. Smg rezekiku krn aku pencinta Oppo klw rezeki ini hp oppo yg ketiga karena awet. @OPPOIndonesia @Anjeli41 @RienRoupdex @aancawang @GHS_007 @_efghan #OPPOA54",1
